kommune,befolkning,kommunenr
Aurland,1800,4641
Lærdal,2160,4642
Årdal,5239,4643
Luster,5371,4644
Askvoll,2986,4645
Fjaler,2869,4646
Sunnfjord,22450,4647
Bremanger,3392,4648
Stad,9610,4649
Gloppen,5926,4650
Stryn,7271,4651
Trondheim ,214565,5001
Steinkjer,24032,5006
Namsos ,15083,5007
Frøya,5453,5014
Osen,898,5020
Oppdal,7389,5021
Rennebu,2484,5022
Røros ,5685,5025
Holtålen,2035,5026
Midtre Gauldal,6140,5027
Melhus,17560,5028
Skaun,8484,5029
Malvik,14783,5031
Selbu,4216,5032
Tydal,773,5033
Meråker,2454,5034
Stjørdal,24717,5035
Frosta,2645,5036
Levanger ,20574,5037
Verdal,15193,5038
Snåase ,2114,5041
Lierne,1301,5042
Raarvihke ,423,5043
Namsskogan,810,5044
Grong,2322,5045
Høylandet,1222,5046
Overhalla,3924,5047
Flatanger,1116,5049
Leka,604,5052
Inderøy,6938,5053
Indre Fosen,10023,5054
Heim,6093,5055
Hitra,5323,5056
Ørland,10522,5057
Åfjord,4339,5058
Orkland,18793,5059
Nærøysund,9968,5060
Rindal,1958,5061
Tromsø,78745,5501
Harstad ,25056,5503
Kvæfjord,2845,5510
Dielddanuorri ,4281,5512
Ibestad,1311,5514
Gratangen ,1070,5516
Loabák ,986,5518
Bardu,3986,5520
Salangen,2069,5522
Målselv,6714,5524
Sørreisa,3485,5526
Dyrøy,1073,5528
Senja,14894,5530
Balsfjord,5571,5532
Karlsøy,2237,5534
Lyngen,2743,5536
Storfjord ,1825,5538
Gáivuotna ,1974,5540
Skjervøy,2794,5542
Nordreisa ,4794,5544
Kvænangen,1157,5546
Alta,21708,5601
Hammerfest ,11338,5603
Sør,10063,5605
Vadsø,5807,5607
Kárásjohka ,2565,5610
Guovdageaidnu ,2848,5612
Loppa,864,5614
Hasvik,979,5616
Måsøy,1113,5618
Nordkapp,2951,5620
Porsanger ,3889,5622
Lebesby,1215,5624
Gamvik,1070,5626
Deatnu ,2807,5628
Berlevåg,892,5630
Båtsfjord,2113,5632
Vardø,1972,5634
Unjárga ,859,5636
Delte kommuner og uoppgitt,0,Rest
